Entity,Code,Happiness,GDP_per_capita,Region
Afghanistan,AFG,1.721,1992.4244,Asia
Albania,ALB,5.304,18244.293,Europe
Algeria,DZA,5.364,15159.324,Africa
Argentina,ARG,6.188,27104.98,South America
Armenia,ARM,5.455,19230.19,Asia
Australia,AUS,7.057,59552.88,Oceania
Austria,AUT,6.905,65015.133,Europe
Azerbaijan,AZE,4.893,21262.299,Asia
Bahrain,BHR,5.959,57213.09,Asia
Bangladesh,BGD,3.886,8242.398,Asia
Belgium,BEL,6.894,64185.848,Europe
Belize,BLZ,6.711,12455.296,North America
Benin,BEN,4.377,3721.2246,Africa
Bolivia,BOL,5.784,9843.97,South America
Bosnia and Herzegovina,BIH,5.877,20126.38,Europe
Botswana,BWA,3.383,18846.25,Africa
Brazil,BRA,6.272,19018.238,South America
Bulgaria,BGR,5.463,33403.375,Europe
Burkina Faso,BFA,4.548,2482.0723,Africa
Cambodia,KHM,4.341,6690.5894,Asia
Cameroon,CMR,4.874,4870.571,Africa
Canada,CAN,6.9,55918.93,North America
Chad,TCD,4.471,1679.4615,Africa
Chile,CHL,6.36,29462.64,South America
China,CHN,5.973,22137.6,Asia
Colombia,COL,5.695,18692.385,South America
Comoros,COM,3.566,3498.8032,Africa
Congo,COG,5.221,6172.2876,Africa
Costa Rica,CRI,6.955,26292.771,North America
Cote d'Ivoire,CIV,5.08,6485.316,Africa
Croatia,HRV,5.942,41116.87,Europe
Cyprus,CYP,6.068,53420.684,Europe
Czechia,CZE,6.822,49681.06,Europe
Democratic Republic of Congo,COD,3.295,1455.8356,Africa
Denmark,DNK,7.583,72097.305,Europe
Dominican Republic,DOM,5.823,23087.934,North America
Ecuador,ECU,5.725,14472.316,South America
Egypt,EGY,3.977,16691.133,Africa
El Salvador,SLV,6.469,11404.334,North America
Estonia,EST,6.448,42471.824,Europe
Eswatini,SWZ,3.502,10132.1875,Africa
Ethiopia,ETH,3.861,2755.457,Africa
Finland,FIN,7.741,57063.523,Europe
France,FRA,6.609,55441.188,Europe
Gabon,GAB,5.106,18702.691,Africa
Gambia,GMB,4.485,2932.2805,Africa
Georgia,GEO,5.185,22590.53,Asia
Germany,DEU,6.719,63578.14,Europe
Ghana,GHA,4.289,6796.4736,Africa
Greece,GRC,5.934,36905.453,Europe
Guatemala,GTM,6.287,12389.386,North America
Guinea,GIN,5.023,3949.34,Africa
Honduras,HND,5.968,6468.302,North America
Hong Kong,HKG,5.316,64467.574,Asia
Hungary,HUN,6.017,40543.992,Europe
Iceland,ISL,7.525,67255.67,Europe
India,IND,4.054,9160.063,Asia
Indonesia,IDN,5.568,13889.883,Asia
Iran,IRN,4.923,15912.03,Asia
Iraq,IRQ,5.166,12711.062,Asia
Ireland,IRL,6.838,114922.39,Europe
Israel,ISR,7.341,48432.11,Asia
Italy,ITA,6.324,53312.07,Europe
Jamaica,JAM,5.842,10291.3125,North America
Japan,JPN,6.06,46157.637,Asia
Jordan,JOR,4.186,9362.588,Asia
Kazakhstan,KAZ,6.188,34703.234,Asia
Kenya,KEN,4.47,5682.9893,Africa
Kosovo,OWID_KOS,6.561,13642.677,Europe
Kuwait,KWT,6.951,46458.2,Asia
Kyrgyzstan,KGZ,5.714,6403.143,Asia
Laos,LAO,5.139,8372.156,Asia
Latvia,LVA,6.234,37007.367,Europe
Lebanon,LBN,2.392,11474.751,Asia
Lesotho,LSO,3.186,2595.8296,Africa
Liberia,LBR,4.269,1616.9237,Africa
Libya,LBY,5.866,12478.144,Africa
Lithuania,LTU,6.818,46740.41,Europe
Luxembourg,LUX,7.122,132846.58,Europe
Madagascar,MDG,4.228,1643.3093,Africa
Malawi,MWI,3.421,1648.4365,Africa
Malaysia,MYS,5.975,32812.3,Asia
Mali,MLI,4.232,2394.672,Africa
Malta,MLT,6.346,61125.71,Europe
Mauritania,MRT,4.505,6258.711,Africa
Mauritius,MUS,5.816,26590.424,Africa
Mexico,MEX,6.678,22142.607,North America
Moldova,MDA,5.816,15855.273,Europe
Mongolia,MNG,5.696,16222.864,Asia
Montenegro,MNE,5.707,27869.65,Europe
Morocco,MAR,4.795,8868.712,Africa
Mozambique,MOZ,5.216,1511.6365,Africa
Myanmar,MMR,4.354,5364.138,Asia
Namibia,NAM,4.832,10105.515,Africa
Nepal,NPL,5.158,4859.8003,Asia
Netherlands,NLD,7.319,71446.695,Europe
New Zealand,NZL,7.029,48826.574,Oceania
Nicaragua,NIC,6.284,7486.943,North America
Niger,NER,4.556,1703.397,Africa
Nigeria,NGA,4.881,5593.0566,Africa
North Macedonia,MKD,5.369,23584.564,Europe
Norway,NOR,7.302,90469.81,Europe
Oman,OMN,6.197,38311.418,Asia
Pakistan,PAK,4.657,5439.1875,Asia
Palestine,PSE,4.879,5313.098,Asia
Panama,PAN,6.358,35863.88,North America
Paraguay,PRY,5.977,15783.115,South America
Peru,PER,5.841,15294.257,South America
Philippines,PHL,6.048,9901.057,Asia
Poland,POL,6.442,44384.168,Europe
Portugal,PRT,6.03,41755.48,Europe
Romania,ROU,6.491,40665.527,Europe
Russia,RUS,5.785,39753.457,Europe
Saudi Arabia,SAU,6.594,55055.4,Asia
Senegal,SEN,4.969,4317.2266,Africa
Serbia,SRB,6.411,26030.021,Europe
Sierra Leone,SLE,3.245,3034.219,Africa
Singapore,SGP,6.523,127543.555,Asia
Slovakia,SVK,6.257,39290.434,Europe
Slovenia,SVN,6.743,48243.94,Europe
Somalia,SOM,4.347,1402.47,Africa
South Africa,ZAF,5.422,13690.39,Africa
South Korea,KOR,6.058,50572.25,Asia
Spain,ESP,6.421,47141.543,Europe
Sri Lanka,LKA,3.898,13029.524,Asia
Sweden,SWE,7.344,63114.68,Europe
Switzerland,CHE,7.06,82557.55,Europe
Tajikistan,TJK,5.281,4472.324,Asia
Tanzania,TZA,3.781,3620.7935,Africa
Thailand,THA,5.976,21142.664,Asia
Togo,TGO,4.214,2767.5166,Africa
Trinidad and Tobago,TTO,5.905,31705.834,North America
Tunisia,TUN,4.422,12552.986,Africa
Turkey,TUR,4.975,34609.914,Asia
Uganda,UGA,4.372,2791.0557,Africa
Ukraine,UKR,4.873,15885.226,Europe
United Arab Emirates,ARE,6.733,68577.54,Asia
United Kingdom,GBR,6.749,54542.016,Europe
United States,USA,6.725,74577.51,North America
Uruguay,URY,6.611,31019.31,South America
Uzbekistan,UZB,6.195,10007.686,Asia
Vietnam,VNM,6.043,13491.88,Asia
Zambia,ZMB,3.502,3673.4841,Africa
Zimbabwe,ZWE,3.341,3442.2512,Africa
